finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
-16950,0.03266620635986328,30,31,30,30,30,NaN,30.2
-16950,0.2401432991027832,32,30,31,32,29,NaN,30.8
-16952,0.33582615852355957,33,32,30,32,31,NaN,31.6
-16953,0.43137407302856445,30,30,30,32,31,NaN,30.6
-16955,0.5277400016784668,31,30,32,30,32,NaN,31.0
-16959,0.623539924621582,31,31,32,32,33,NaN,31.8
-16963,0.71878981590271,32,32,33,31,32,NaN,32.0
-16971,0.8153166770935059,32,32,32,33,31,NaN,32.0
-16981,0.9111473560333252,32,33,31,33,33,NaN,32.4
-16989,1.0224013328552246,32,32,31,32,33,NaN,32.0
-16997,1.1343681812286377,33,31,32,33,33,NaN,32.4
-17005,1.2305443286895752,32,32,31,32,33,NaN,32.0
-17017,1.3252475261688232,31,32,31,33,32,NaN,31.8
-17033,1.4217133522033691,34,31,32,30,31,NaN,31.6
-17054,1.5178124904632568,31,32,31,32,30,NaN,31.2
-17079,1.6132807731628418,32,33,32,31,31,NaN,31.8
-17108,1.7096943855285645,33,33,32,30,33,NaN,32.2
-17136,1.804884672164917,33,31,31,31,31,NaN,31.4
-17160,1.9013314247131348,32,32,31,33,31,NaN,31.8
-17183,1.996506690979004,32,34,32,32,32,NaN,32.4
-17205,2.092055082321167,30,32,32,32,33,NaN,31.8
-17229,2.188751697540283,33,33,31,32,30,NaN,31.8
-17256,2.284291982650757,32,32,33,33,33,NaN,32.6
-17287,2.3798983097076416,33,33,32,35,31,NaN,32.8
-17321,2.4753174781799316,33,33,33,33,33,NaN,33.0
-17357,2.571852207183838,32,32,31,32,34,NaN,32.2
-17396,2.6668312549591064,33,33,32,35,33,NaN,33.2
-17441,2.7635462284088135,34,33,32,31,31,NaN,32.2
-17484,2.8596208095550537,32,33,31,33,34,NaN,32.6
-17523,2.971367597579956,33,32,32,32,32,NaN,32.2
-17556,3.067173480987549,30,32,33,33,32,NaN,32.0
-17588,3.162766695022583,32,32,34,33,35,NaN,33.2
-17618,3.258911609649658,31,33,34,34,32,NaN,32.8
