finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
-28745,0.047743797302246094,70,73,74,72,74,22.3,72.6
-28739,0.27126049995422363,78,77,77,76,77,22.3,77.0
-28735,0.3674440383911133,77,80,78,79,79,22.3,78.6
-28735,0.4792003631591797,77,78,79,80,79,22.3,78.6
-28739,0.5750057697296143,81,79,78,81,80,22.3,79.8
-28745,0.6709034442901611,80,78,79,81,78,22.3,79.2
-28756,0.7663962841033936,81,77,82,79,80,22.3,79.8
-28770,0.8625712394714355,82,78,81,78,81,22.3,80.0
-28784,0.9585733413696289,79,84,82,80,80,22.3,81.0
-28793,1.070082426071167,79,81,80,81,80,22.3,80.2
-28797,1.1648242473602295,79,80,79,80,80,22.3,79.6
-28800,1.2615904808044434,82,79,81,82,80,22.3,80.8
-28802,1.3570635318756104,81,82,80,81,84,22.3,81.6
-28802,1.4528090953826904,82,80,80,82,82,22.3,81.2
-28800,1.5490565299987793,79,80,84,81,85,22.3,81.8
-28796,1.6447267532348633,80,81,83,81,79,22.3,80.8
-28798,1.740830421447754,81,83,79,80,82,22.3,81.0
-28801,1.8367455005645752,84,82,82,82,82,22.3,82.4
-28810,1.932504653930664,83,83,80,82,80,22.3,81.6
-28819,2.0280704498291016,81,80,81,83,83,22.3,81.6
-28832,2.1239991188049316,80,79,83,83,83,22.3,81.6
-28846,2.2198240756988525,80,82,81,80,82,22.3,81.0
-28860,2.3157801628112793,83,83,80,80,83,22.3,81.8
-28874,2.4116249084472656,80,81,83,80,83,22.3,81.4
-28890,2.5072922706604004,82,82,81,84,85,22.3,82.8
-28908,2.602607250213623,82,80,79,80,81,22.3,80.4
-28920,2.6990745067596436,81,81,83,83,82,22.3,82.0
-28930,2.794707775115967,82,84,80,84,81,22.3,82.2
-28937,2.890793800354004,81,79,82,81,82,22.3,81.0
-28942,2.9863944053649902,81,82,82,81,79,22.3,81.0
-28941,3.0821120738983154,84,82,81,82,81,22.3,82.0
-28940,3.1783430576324463,79,81,84,83,81,22.3,81.6
-28936,3.289722204208374,82,81,82,85,83,22.3,82.6
-28925,3.385634422302246,83,84,85,83,82,22.3,83.4
-28912,3.496856927871704,82,83,82,80,85,22.3,82.4
-28897,3.5927865505218506,82,82,83,84,83,22.3,82.8
-28884,3.6892223358154297,83,84,84,84,82,22.3,83.4
-28869,3.7849807739257812,82,84,81,85,83,22.3,83.0
-28852,3.88098406791687,84,81,86,80,81,22.3,82.4
-28836,3.9768595695495605,84,83,82,85,83,22.3,83.4
-28822,4.072659969329834,82,83,83,82,84,22.3,82.8
-28810,4.168417930603027,84,85,80,84,85,22.3,83.6
-28794,4.2639875411987305,83,83,82,84,82,22.3,82.8
-28777,4.359525680541992,83,81,82,84,83,22.3,82.6
-28755,4.4560041427612305,85,85,81,85,81,22.3,83.4
-28726,4.551684379577637,82,84,85,84,83,22.3,83.6
-28696,4.66351318359375,84,84,85,84,83,22.3,84.0
-28666,4.759378433227539,84,84,82,84,83,22.3,83.4
-28638,4.870992660522461,84,81,83,83,84,22.3,83.0
-28611,4.9670586585998535,82,84,82,83,84,22.3,83.0
-28582,5.078021287918091,82,83,84,82,81,22.3,82.4
-28554,5.174206733703613,83,83,82,81,84,22.3,82.6
-28525,5.269927263259888,82,82,83,83,80,22.3,82.0
-28495,5.366307735443115,84,83,85,83,84,22.3,83.8
-28463,5.462141036987305,84,81,85,81,85,22.3,83.2
-28431,5.557981729507446,81,81,83,81,85,22.3,82.2
-28400,5.653009414672852,83,85,86,81,81,22.3,83.2
-28369,5.749213218688965,83,81,84,83,82,22.3,82.6
-28337,5.845386505126953,84,83,82,83,81,22.3,82.6
-28302,5.940708160400391,83,83,82,84,82,22.3,82.8
-28262,6.0364439487457275,82,83,81,86,83,22.3,83.0
-28218,6.148838043212891,83,82,82,82,82,22.3,82.2
-28176,6.243742942810059,82,82,81,83,82,22.3,82.0
-28135,6.3555450439453125,83,80,81,83,82,22.3,81.8
-28093,6.452308654785156,80,85,82,80,81,22.3,81.6
-28053,6.5481321811676025,85,81,82,83,81,22.3,82.4
-28013,6.643950462341309,83,82,81,83,82,22.3,82.2
-27972,6.73943829536438,84,82,85,84,81,22.3,83.2
-27929,6.835262775421143,83,81,83,82,81,22.3,82.0
-27886,6.930455446243286,84,85,83,83,81,22.3,83.2
-27845,7.027095317840576,82,82,82,83,80,22.3,81.8
-27804,7.12325119972229,81,82,82,82,80,22.3,81.4
-27768,7.218938112258911,81,84,83,83,79,22.3,82.0
-27739,7.329988718032837,82,81,81,83,84,22.3,82.2
-27712,7.426165819168091,81,82,81,83,82,22.3,81.8
-27691,7.538259506225586,82,81,83,80,84,22.3,82.0
-27675,7.633504867553711,81,82,82,84,82,22.3,82.2
-27664,7.745258808135986,82,82,80,81,82,22.3,81.4
-27656,7.841954469680786,83,80,84,82,81,22.3,82.0
-27649,7.937493562698364,82,79,83,81,81,22.3,81.2
-27641,8.033334732055664,82,80,82,82,81,22.3,81.4
-27635,8.12920355796814,83,81,82,83,84,22.3,82.6
-27630,8.225026369094849,81,82,83,82,81,22.3,81.8
-27624,8.320861101150513,82,83,81,84,85,22.3,83.0
-27619,8.416349411010742,82,84,82,82,83,22.3,82.6
-27613,8.511973857879639,83,82,82,79,82,22.3,81.6
-27607,8.608115911483765,81,81,82,81,82,22.3,81.4
-27602,8.703779220581055,80,82,84,79,80,22.3,81.0
-27597,8.799992322921753,81,81,82,82,79,22.3,81.0
-27592,8.895797729492188,82,82,82,83,83,22.3,82.4
-27587,8.991459608078003,80,81,79,80,83,22.3,80.6
-27582,9.087401628494263,83,80,82,80,81,22.3,81.2
-27577,9.182740449905396,84,82,82,80,80,22.3,81.6
-27573,9.27908968925476,82,83,82,81,83,22.3,82.2
-27568,9.374887704849243,83,82,82,80,84,22.3,82.2
-27561,9.470772504806519,80,80,82,80,80,22.3,80.4
-27559,9.566442012786865,81,81,82,81,80,22.3,81.0
-27556,9.662452936172485,82,81,81,83,82,22.3,81.8
-27552,9.75830364227295,80,81,80,82,82,22.3,81.0
-27549,9.853594541549683,81,80,82,81,81,22.3,81.0
