finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
27716.1171875,120.33867263793945,-63,-65,-66,-66,-69,20.4,-65.8
27712.8515625,120.48228764533997,-67,-69,-70,-69,-67,20.4,-68.4
27712.671875,120.57854914665222,-67,-69,-69,-70,-68,20.4,-68.6
27716.0234375,120.69147276878357,-70,-71,-71,-70,-69,20.4,-70.2
27724.953125,120.78621816635132,-72,-69,-71,-71,-70,20.4,-70.6
27736.8671875,120.88301920890808,-73,-72,-71,-71,-71,20.4,-71.6
27753.25,120.97883296012878,-71,-71,-71,-71,-69,20.4,-70.6
27770.8046875,121.07392930984497,-71,-73,-69,-69,-71,20.4,-70.6
27793.4609375,121.17010283470154,-71,-69,-70,-72,-72,20.4,-70.8
27819.8828125,121.26611018180847,-73,-70,-70,-69,-71,20.4,-70.6
27845.359375,121.36221599578857,-72,-73,-70,-72,-72,20.4,-71.8
27867.9609375,121.45732378959656,-70,-71,-72,-70,-72,20.4,-71.0
27891.546875,121.55340909957886,-70,-72,-73,-73,-75,20.4,-72.6
27917.078125,121.64898943901062,-72,-75,-69,-75,-70,20.4,-72.2
27944.3671875,121.7447338104248,-71,-74,-73,-74,-74,20.4,-73.2
27976.78125,121.84169888496399,-70,-72,-74,-73,-72,20.4,-72.2
28012.046875,121.95318102836609,-73,-72,-75,-74,-72,20.4,-73.2
28047.625,122.04902482032776,-72,-75,-74,-73,-72,20.4,-73.2
28082.921875,122.14531254768372,-73,-72,-75,-74,-73,20.4,-73.4
28111.8671875,122.24131846427917,-73,-76,-72,-72,-75,20.4,-73.6
28137.3515625,122.33673644065857,-75,-72,-74,-71,-73,20.4,-73.0
28160.4296875,122.43280816078186,-71,-72,-74,-74,-74,20.4,-73.0
28179.5546875,122.52892398834229,-72,-73,-75,-70,-73,20.4,-72.6
28196.9296875,122.62460613250732,-74,-74,-75,-74,-71,20.4,-73.6
28209.484375,122.72047710418701,-76,-73,-74,-73,-73,20.4,-73.8
28217.421875,122.81624221801758,-73,-74,-72,-72,-74,20.4,-73.0
28225.296875,122.91203570365906,-74,-74,-76,-75,-71,20.4,-74.0
28233.6484375,123.00788712501526,-77,-73,-75,-75,-75,20.4,-75.0
28244.84375,123.10368871688843,-71,-76,-74,-76,-75,20.4,-74.4
28256.515625,123.20032715797424,-75,-74,-71,-75,-73,20.4,-73.6
28269.2734375,123.29538774490356,-77,-75,-73,-75,-74,20.4,-74.8
28281.3046875,123.39183378219604,-76,-72,-75,-76,-74,20.4,-74.6
28293.8125,123.48784184455872,-74,-75,-74,-74,-74,20.4,-74.2
28309.8671875,123.58341598510742,-73,-73,-76,-77,-74,20.4,-74.6
28327.6875,123.67956781387329,-77,-75,-73,-71,-75,20.4,-74.2
28349.3203125,123.77482509613037,-72,-75,-75,-75,-74,20.4,-74.2
28374.65625,123.87149453163147,-75,-75,-76,-74,-77,20.4,-75.4
28404.2578125,123.96714925765991,-76,-73,-73,-76,-71,20.4,-73.8
28434.0078125,124.06259393692017,-76,-76,-75,-76,-75,20.4,-75.6
28459.9296875,124.159184217453,-76,-75,-76,-74,-78,20.4,-75.8
28480.0390625,124.25441789627075,-74,-76,-75,-77,-73,20.4,-75.0
28494.2265625,124.35104393959045,-76,-76,-74,-74,-75,20.4,-75.0
28514.4296875,124.44613838195801,-76,-78,-73,-74,-76,20.4,-75.4
28537.7734375,124.5426459312439,-77,-74,-74,-77,-76,20.4,-75.6
28567.5625,124.63771629333496,-76,-73,-78,-76,-76,20.4,-75.8
28596.53125,124.73424339294434,-74,-76,-76,-75,-76,20.4,-75.4
28627.6953125,124.82941937446594,-77,-77,-76,-76,-77,20.4,-76.6
28660.3359375,124.92559123039246,-76,-77,-76,-75,-78,20.4,-76.4
28695.953125,125.02153635025024,-76,-80,-77,-77,-77,20.4,-77.4
28732.796875,125.11756324768066,-78,-77,-75,-79,-74,20.4,-76.6
28770.7734375,125.21362614631653,-77,-78,-77,-78,-78,20.4,-77.6
28808.796875,125.30898976325989,-76,-77,-77,-79,-74,20.4,-76.6
28848.0703125,125.40504217147827,-76,-77,-78,-78,-76,20.4,-77.0
28886.0078125,125.50135564804077,-77,-79,-77,-76,-79,20.4,-77.6
28925.25,125.59730505943298,-76,-78,-78,-76,-76,20.4,-76.8
28964.0859375,125.69283890724182,-76,-78,-77,-81,-78,20.4,-78.0
29003.484375,125.78899550437927,-76,-77,-78,-81,-76,20.4,-77.6
29039.3046875,125.88475275039673,-77,-78,-78,-76,-77,20.4,-77.2
29070.328125,125.98040676116943,-78,-76,-77,-78,-77,20.4,-77.2
29097.65625,126.07639789581299,-78,-76,-76,-78,-78,20.4,-77.2
29122.1328125,126.17223310470581,-80,-79,-80,-79,-74,20.4,-78.4
29143.2421875,126.26830959320068,-79,-77,-78,-74,-75,20.4,-76.6
29163.0234375,126.36451697349548,-77,-79,-78,-79,-77,20.4,-78.0
29183.3046875,126.4604082107544,-76,-79,-80,-76,-77,20.4,-77.6
29208.203125,126.55619096755981,-80,-78,-79,-78,-77,20.4,-78.4
29236.71875,126.65203738212585,-79,-79,-77,-76,-78,20.4,-77.8
29268.78125,126.74819588661194,-78,-80,-80,-78,-78,20.4,-78.8
29305.09375,126.84336352348328,-78,-79,-81,-79,-78,20.4,-79.0
29340.9609375,126.9393355846405,-78,-80,-78,-80,-79,20.4,-79.0
