finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
18935,0.048760175704956055,-38,-37,-41,-41,-38,22.3,-39.0
19059,0.28841400146484375,-38,-40,-39,-41,-39,22.3,-39.4
19186,0.38423633575439453,-40,-40,-38,-39,-40,22.3,-39.4
19313,0.49527907371520996,-39,-42,-39,-41,-40,22.3,-40.2
19440,0.5909762382507324,-39,-41,-43,-39,-43,22.3,-41.0
19566,0.687676191329956,-40,-40,-42,-44,-41,22.3,-41.4
19691,0.7825965881347656,-40,-42,-42,-43,-42,22.3,-41.8
19813,0.8792719841003418,-42,-44,-42,-42,-41,22.3,-42.2
19935,0.9750325679779053,-43,-40,-43,-41,-42,22.3,-41.8
20056,1.0709612369537354,-43,-44,-40,-45,-44,22.3,-43.2
20179,1.1657252311706543,-42,-47,-42,-42,-45,22.3,-43.6
20301,1.262571096420288,-43,-42,-44,-43,-42,22.3,-42.8
20425,1.357306957244873,-45,-41,-43,-43,-44,22.3,-43.2
20546,1.4534752368927002,-43,-44,-42,-46,-46,22.3,-44.2
20665,1.5489492416381836,-40,-45,-43,-44,-44,22.3,-43.2
20782,1.6455316543579102,-45,-44,-47,-44,-45,22.3,-45.0
20897,1.741358995437622,-43,-44,-45,-45,-45,22.3,-44.4
21012,1.837303638458252,-45,-44,-44,-45,-47,22.3,-45.0
21128,1.9493203163146973,-45,-44,-46,-47,-43,22.3,-45.0
21245,2.045151710510254,-45,-46,-44,-45,-45,22.3,-45.0
21364,2.15657639503479,-46,-46,-45,-44,-45,22.3,-45.2
21483,2.2525739669799805,-46,-45,-48,-46,-46,22.3,-46.2
21604,2.347731351852417,-47,-48,-46,-47,-46,22.3,-46.8
21723,2.444429874420166,-48,-47,-48,-48,-47,22.3,-47.6
21840,2.556201457977295,-47,-46,-45,-47,-49,22.3,-46.8
21954,2.651935338973999,-47,-45,-47,-45,-50,22.3,-46.8
22066,2.763076066970825,-48,-47,-46,-48,-48,22.3,-47.4
22176,2.859468936920166,-47,-48,-47,-47,-48,22.3,-47.4
22287,2.9554619789123535,-46,-47,-49,-48,-49,22.3,-47.8
22399,3.0511491298675537,-47,-46,-47,-51,-48,22.3,-47.8
22513,3.1466050148010254,-47,-49,-47,-46,-49,22.3,-47.6
22627,3.2428481578826904,-51,-49,-50,-50,-51,22.3,-50.2
22743,3.338627338409424,-52,-52,-49,-50,-50,22.3,-50.6
22861,3.4341964721679688,-51,-49,-49,-52,-51,22.3,-50.4
22978,3.5304675102233887,-51,-53,-50,-48,-51,22.3,-50.6
23092,3.626234769821167,-51,-49,-50,-50,-51,22.3,-50.2
23202,3.722059726715088,-53,-53,-53,-51,-52,22.3,-52.4
23308,3.817880153656006,-51,-51,-53,-51,-51,22.3,-51.4
23409,3.9128594398498535,-51,-51,-52,-50,-50,22.3,-50.8
23505,4.009583950042725,-51,-50,-50,-52,-50,22.3,-50.6
23597,4.12080979347229,-54,-51,-54,-53,-53,22.3,-53.0
23686,4.216989278793335,-53,-53,-52,-53,-55,22.3,-53.2
23774,4.329028129577637,-54,-50,-50,-52,-52,22.3,-51.6
23856,4.424915552139282,-53,-54,-51,-54,-53,22.3,-53.0
23935,4.535963535308838,-54,-53,-54,-53,-54,22.3,-53.6
24010,4.632187366485596,-54,-54,-53,-55,-52,22.3,-53.6
24085,4.727997541427612,-55,-55,-53,-56,-54,22.3,-54.6
24160,4.824216604232788,-54,-52,-54,-55,-54,22.3,-53.8
24235,4.9196085929870605,-54,-55,-55,-54,-55,22.3,-54.6
24309,5.015069007873535,-53,-55,-54,-54,-55,22.3,-54.2
24384,5.11164116859436,-53,-55,-53,-56,-56,22.3,-54.6
24458,5.207591533660889,-56,-54,-55,-55,-55,22.3,-55.0
24532,5.302555561065674,-54,-56,-56,-55,-57,22.3,-55.6
24605,5.399192810058594,-54,-53,-54,-56,-55,22.3,-54.4
24682,5.494957447052002,-52,-53,-55,-57,-56,22.3,-54.6
24759,5.590345621109009,-56,-57,-55,-58,-56,22.3,-56.4
24833,5.686642408370972,-56,-57,-57,-56,-54,22.3,-56.0
24902,5.798315763473511,-57,-56,-59,-56,-55,22.3,-56.6
24968,5.894132137298584,-57,-54,-56,-59,-55,22.3,-56.2
25029,5.989939212799072,-58,-57,-58,-57,-59,22.3,-57.8
25086,6.085640907287598,-59,-57,-54,-57,-57,22.3,-56.8
25140,6.180789470672607,-55,-58,-57,-58,-58,22.3,-57.2
25192,6.276869297027588,-58,-55,-59,-57,-58,22.3,-57.4
25244,6.37340784072876,-57,-59,-56,-59,-56,22.3,-57.4
25300,6.469092607498169,-57,-56,-56,-59,-60,22.3,-57.6
25358,6.5650389194488525,-57,-57,-56,-56,-59,22.3,-57.0
25421,6.66020655632019,-57,-57,-59,-56,-61,22.3,-58.0
25486,6.7563910484313965,-59,-59,-58,-58,-57,22.3,-58.2
25554,6.852620363235474,-60,-56,-59,-56,-58,22.3,-57.8
25625,6.947435617446899,-58,-59,-59,-59,-59,22.3,-58.8
25694,7.043184280395508,-60,-57,-60,-60,-60,22.3,-59.4
25765,7.140021562576294,-59,-59,-57,-60,-59,22.3,-58.8
25836,7.235771179199219,-61,-61,-60,-59,-58,22.3,-59.8
25908,7.331533908843994,-59,-61,-63,-57,-58,22.3,-59.6
25981,7.427429676055908,-59,-61,-60,-57,-60,22.3,-59.4
26054,7.5229973793029785,-60,-57,-58,-62,-61,22.3,-59.6
26126,7.6183249950408936,-58,-58,-60,-59,-60,22.3,-59.0
26196,7.7148919105529785,-61,-58,-60,-59,-59,22.3,-59.4
26263,7.810666084289551,-62,-60,-63,-59,-59,22.3,-60.6
26332,7.922091245651245,-59,-63,-61,-61,-60,22.3,-60.8
26400,8.018229722976685,-62,-60,-62,-61,-59,22.3,-60.8
26465,8.129547834396362,-59,-62,-62,-64,-63,22.3,-62.0
26530,8.225795984268188,-63,-62,-62,-62,-61,22.3,-62.0
26596,8.336929559707642,-61,-59,-59,-59,-60,22.3,-59.6
26660,8.433505058288574,-62,-60,-59,-62,-62,22.3,-61.0
