finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
18648,0.03153085708618164,-34,-39,-39,-41,-40,21.4,-38.6
18737,0.27133750915527344,-43,-43,-41,-45,-42,21.4,-42.8
18825,0.36713385581970215,-43,-43,-45,-43,-43,21.4,-43.4
18915,0.46309375762939453,-42,-42,-45,-43,-42,21.4,-42.8
19004,0.5746777057647705,-43,-42,-42,-44,-42,21.4,-42.6
19093,0.6703677177429199,-44,-44,-42,-46,-42,21.4,-43.6
19182,0.7660541534423828,-45,-42,-43,-45,-47,21.4,-44.4
19269,0.8617029190063477,-45,-46,-45,-44,-44,21.4,-44.8
19357,0.9583067893981934,-44,-45,-46,-45,-45,21.4,-45.0
19444,1.0541555881500244,-44,-45,-45,-46,-46,21.4,-45.2
19530,1.1496622562408447,-44,-45,-46,-44,-47,21.4,-45.2
19619,1.2454676628112793,-48,-48,-48,-47,-47,21.4,-47.6
19710,1.341536521911621,-45,-46,-44,-46,-47,21.4,-45.6
19798,1.4366278648376465,-48,-47,-45,-46,-48,21.4,-46.8
19886,1.532768964767456,-48,-47,-45,-47,-47,21.4,-46.8
19976,1.6446101665496826,-47,-49,-49,-48,-46,21.4,-47.8
20066,1.7398982048034668,-47,-47,-47,-48,-48,21.4,-47.4
20158,1.836761713027954,-48,-48,-49,-47,-48,21.4,-48.0
20246,1.9326000213623047,-48,-50,-48,-50,-51,21.4,-49.4
20333,2.0283894538879395,-47,-48,-50,-49,-51,21.4,-49.0
20415,2.123783588409424,-50,-49,-48,-49,-47,21.4,-48.6
20492,2.2354841232299805,-51,-50,-49,-50,-49,21.4,-49.8
20569,2.331775188446045,-50,-50,-49,-49,-50,21.4,-49.6
20648,2.4271864891052246,-50,-51,-50,-49,-50,21.4,-50.0
20728,2.5233452320098877,-50,-48,-50,-49,-47,21.4,-48.8
20806,2.635256290435791,-49,-50,-50,-49,-52,21.4,-50.0
20884,2.7303364276885986,-51,-50,-53,-52,-53,21.4,-51.8
20961,2.842716932296753,-51,-51,-52,-49,-49,21.4,-50.4
21037,2.9386887550354004,-50,-51,-50,-53,-52,21.4,-51.2
