finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
4578,0.031761884689331055,-7,-8,-7,-9,-8,NaN,-7.8
4657,0.2561631202697754,-9,-10,-8,-8,-9,NaN,-8.8
4737,0.351238489151001,-9,-9,-8,-9,-11,NaN,-9.2
4819,0.4476456642150879,-9,-7,-8,-8,-9,NaN,-8.2
4904,0.5435793399810791,-7,-8,-7,-8,-11,NaN,-8.2
4994,0.6554803848266602,-9,-8,-10,-9,-7,NaN,-8.6
5087,0.7505104541778564,-11,-8,-9,-9,-8,NaN,-9.0
5184,0.8471713066101074,-7,-11,-9,-10,-8,NaN,-9.0
5288,0.9431788921356201,-9,-11,-10,-12,-11,NaN,-10.6
5387,1.0389833450317383,-10,-10,-9,-8,-8,NaN,-9.0
5484,1.1336524486541748,-10,-10,-11,-8,-11,NaN,-10.0
5581,1.229609727859497,-9,-9,-11,-10,-9,NaN,-9.6
5675,1.3259634971618652,-11,-12,-12,-10,-9,NaN,-10.8
5771,1.4213478565216064,-10,-12,-10,-13,-12,NaN,-11.4
5867,1.5175631046295166,-10,-9,-11,-10,-12,NaN,-10.4
5966,1.6131365299224854,-12,-11,-11,-12,-10,NaN,-11.2
6062,1.7097499370574951,-12,-11,-11,-13,-11,NaN,-11.6
6160,1.8056881427764893,-11,-11,-11,-11,-11,NaN,-11.0
6260,1.9014077186584473,-11,-11,-13,-12,-11,NaN,-11.6
6359,1.9974291324615479,-13,-12,-12,-13,-14,NaN,-12.8
6456,2.0927364826202393,-12,-12,-14,-14,-13,NaN,-13.0
6548,2.188863515853882,-12,-14,-13,-13,-14,NaN,-13.2
6634,2.300640821456909,-12,-14,-12,-13,-12,NaN,-12.6
6715,2.3962459564208984,-15,-10,-14,-13,-12,NaN,-12.8
6794,2.5079638957977295,-13,-12,-16,-14,-13,NaN,-13.6
6868,2.6032657623291016,-12,-14,-13,-13,-12,NaN,-12.8
6938,2.699840545654297,-13,-13,-11,-12,-15,NaN,-12.8
7002,2.7953526973724365,-12,-15,-12,-14,-11,NaN,-12.8
7062,2.891286611557007,-13,-15,-14,-14,-14,NaN,-14.0
7118,2.9866602420806885,-13,-14,-13,-16,-12,NaN,-13.6
7172,3.0832366943359375,-14,-15,-17,-14,-14,NaN,-14.8
7223,3.1790285110473633,-15,-14,-14,-14,-13,NaN,-14.0
7271,3.290745973587036,-14,-16,-14,-14,-14,NaN,-14.4
7316,3.3864948749542236,-15,-15,-14,-14,-14,NaN,-14.4
7361,3.4825191497802734,-14,-13,-14,-15,-16,NaN,-14.4
7408,3.578019857406616,-16,-15,-16,-14,-13,NaN,-14.8
7454,3.6740071773529053,-15,-16,-15,-17,-13,NaN,-15.2
7501,3.7700181007385254,-15,-18,-15,-15,-12,NaN,-15.0
7548,3.881709575653076,-14,-14,-15,-16,-15,NaN,-14.8
7596,3.977585554122925,-14,-16,-15,-15,-16,NaN,-15.2
7642,4.072632789611816,-15,-15,-14,-14,-17,NaN,-15.0
7685,4.168979167938232,-15,-14,-13,-18,-17,NaN,-15.4
7731,4.2806267738342285,-13,-14,-16,-15,-13,NaN,-14.2
7774,4.376980781555176,-16,-15,-17,-19,-15,NaN,-16.4
7817,4.472560167312622,-14,-15,-16,-17,-15,NaN,-15.4
7864,4.568415641784668,-17,-16,-17,-16,-16,NaN,-16.4
7913,4.664262294769287,-16,-13,-16,-15,-16,NaN,-15.2
7963,4.76024317741394,-15,-15,-14,-16,-14,NaN,-14.8
8013,4.8560402393341064,-16,-16,-17,-18,-15,NaN,-16.4
8065,4.951786279678345,-15,-15,-17,-17,-18,NaN,-16.4
8118,5.047696590423584,-16,-17,-16,-16,-15,78.6,-16.0
8171,5.142445087432861,-16,-16,-16,-16,-15,78.6,-15.8
8222,5.254976034164429,-17,-17,-17,-16,-13,78.6,-16.0
8275,5.351036548614502,-18,-16,-15,-16,-17,78.6,-16.4
8330,5.446865558624268,-16,-14,-17,-18,-15,78.6,-16.0
8382,5.54276967048645,-18,-18,-18,-19,-19,78.6,-18.4
8429,5.638608932495117,-17,-17,-19,-19,-18,78.6,-18.0
8471,5.733300447463989,-16,-18,-16,-16,-17,78.6,-16.6
8509,5.829992055892944,-16,-17,-19,-17,-17,78.6,-17.2
8540,5.9259374141693115,-19,-16,-16,-17,-18,78.6,-17.2
8565,6.021930932998657,-17,-17,-18,-17,-18,NaN,-17.4
8587,6.117576837539673,-20,-17,-16,-19,-17,NaN,-17.8
8605,6.21354603767395,-18,-17,-17,-16,-17,NaN,-17.0
8626,6.309365749359131,-17,-18,-17,-19,-17,NaN,-17.6
8651,6.404497385025024,-19,-17,-15,-19,-16,NaN,-17.2
8680,6.501047134399414,-19,-16,-19,-17,-16,NaN,-17.4
8710,6.59676456451416,-18,-18,-18,-18,-19,NaN,-18.2
8741,6.692274570465088,-19,-17,-19,-17,-18,NaN,-18.0
8773,6.803720235824585,-18,-19,-18,-19,-18,NaN,-18.4
8807,6.900189161300659,-19,-20,-19,-17,-18,NaN,-18.6
8839,7.0121846199035645,-17,-17,-19,-17,-17,NaN,-17.4
8870,7.107706308364868,-18,-19,-18,-19,-18,NaN,-18.4
8901,7.219417333602905,-18,-17,-20,-17,-19,NaN,-18.2
8931,7.31556248664856,-19,-17,-18,-18,-19,NaN,-18.2
8960,7.411257266998291,-19,-18,-19,-19,-17,NaN,-18.4
8991,7.50712251663208,-20,-19,-17,-19,-17,NaN,-18.4
9020,7.6020612716674805,-18,-19,-19,-20,-18,NaN,-18.8
9049,7.698853492736816,-20,-18,-20,-16,-18,NaN,-18.4
9080,7.7946295738220215,-18,-16,-19,-18,-17,NaN,-17.6
9112,7.905934572219849,-19,-20,-20,-21,-19,NaN,-19.8
9144,8.002344369888306,-20,-18,-19,-20,-19,NaN,-19.2
9176,8.097841739654541,-20,-20,-19,-20,-18,NaN,-19.4
9207,8.192920446395874,-20,-19,-20,-19,-19,NaN,-19.4
9238,8.305795192718506,-20,-16,-20,-18,-21,NaN,-19.0
9268,8.400850057601929,-22,-20,-19,-19,-18,NaN,-19.6
9297,8.49732494354248,-20,-19,-18,-20,-19,NaN,-19.2
9326,8.593246459960938,-19,-18,-21,-20,-19,NaN,-19.4
9357,8.689069271087646,-19,-20,-19,-20,-19,NaN,-19.4
9388,8.784233093261719,-22,-19,-18,-18,-21,NaN,-19.6
9422,8.88088083267212,-20,-20,-21,-19,-18,NaN,-19.6
9456,8.976155996322632,-18,-19,-19,-20,-20,NaN,-19.2
9490,9.072221994400024,-19,-21,-18,-19,-22,NaN,-19.8
9524,9.167125940322876,-19,-19,-21,-21,-21,NaN,-20.2
9559,9.263869047164917,-21,-20,-19,-20,-20,NaN,-20.0
9594,9.359816789627075,-18,-19,-22,-20,-19,NaN,-19.6
9630,9.455594778060913,-20,-21,-22,-22,-19,NaN,-20.8
9667,9.55135989189148,-19,-20,-20,-18,-23,NaN,-20.0
9704,9.647431373596191,-17,-22,-20,-20,-19,NaN,-19.6
9735,9.743163347244263,-21,-20,-20,-21,-20,NaN,-20.4
9759,9.838709354400635,-21,-20,-21,-21,-20,NaN,-20.6
9780,9.934438228607178,-20,-22,-20,-20,-19,NaN,-20.2
9798,10.030635833740234,-20,-19,-18,-21,-19,NaN,-19.4
9811,10.126381158828735,-20,-19,-20,-20,-22,NaN,-20.2
9820,10.22224235534668,-21,-20,-19,-21,-19,NaN,-20.0
9822,10.31770658493042,-22,-20,-19,-20,-21,NaN,-20.4
9826,10.429908514022827,-21,-23,-21,-22,-20,NaN,-21.4
9832,10.525754451751709,-21,-20,-21,-20,-23,NaN,-21.0
9837,10.621491193771362,-19,-20,-21,-18,-20,NaN,-19.6
9843,10.717219591140747,-21,-22,-21,-20,-21,NaN,-21.0
9847,10.813181161880493,-21,-21,-22,-21,-21,NaN,-21.2
9852,10.908170461654663,-20,-19,-20,-21,-20,NaN,-20.0
9856,11.00449800491333,-21,-20,-21,-20,-22,NaN,-20.8
9863,11.100571393966675,-19,-20,-22,-22,-20,NaN,-20.6
9870,11.196163892745972,-23,-20,-22,-20,-21,NaN,-21.2
9876,11.291796445846558,-21,-21,-21,-21,-21,NaN,-21.0
9883,11.387724876403809,-22,-22,-21,-20,-20,NaN,-21.0
9887,11.483922719955444,-20,-22,-20,-21,-20,NaN,-20.6
9891,11.578766584396362,-22,-22,-20,-21,-19,NaN,-20.8
9897,11.675543069839478,-20,-22,-21,-22,-21,NaN,-21.2
9903,11.771337509155273,-21,-22,-22,-21,-21,NaN,-21.4
9912,11.867164611816406,-19,-20,-20,-21,-21,NaN,-20.2
9920,11.962557792663574,-20,-22,-20,-23,-19,NaN,-20.8
9930,12.058808326721191,-21,-21,-21,-21,-21,NaN,-21.0
9939,12.153499126434326,-22,-20,-24,-20,-18,NaN,-20.8
9942,12.249473810195923,-22,-21,-21,-21,-22,NaN,-21.4
9941,12.34622073173523,-20,-22,-21,-21,-23,NaN,-21.4
9937,12.442126035690308,-20,-23,-20,-21,-21,NaN,-21.0
9929,12.55367636680603,-21,-20,-21,-22,-20,NaN,-20.8
9919,12.648870944976807,-22,-20,-22,-22,-20,NaN,-21.2
9906,12.744817972183228,-22,-20,-22,-22,-21,NaN,-21.4
9888,12.840992450714111,-23,-21,-20,-21,-20,NaN,-21.0
9869,12.93721318244934,-22,-21,-23,-19,-24,NaN,-21.8
9844,13.03307294845581,-19,-21,-20,-21,-20,NaN,-20.2
9814,13.129001140594482,-21,-22,-23,-19,-20,NaN,-21.0
9781,13.224745035171509,-22,-21,-20,-22,-21,NaN,-21.2
9743,13.320616960525513,-22,-20,-21,-19,-22,NaN,-20.8
9698,13.416098356246948,-20,-22,-23,-21,-20,NaN,-21.2
9655,13.512224912643433,-22,-22,-22,-20,-20,NaN,-21.2
9614,13.607720851898193,-20,-19,-21,-20,-20,NaN,-20.0
9574,13.703770399093628,-22,-21,-21,-20,-20,NaN,-20.8
9540,13.79960036277771,-23,-21,-19,-21,-21,NaN,-21.0
9507,13.91149091720581,-20,-21,-22,-21,-22,NaN,-21.2
9471,14.006847381591797,-21,-21,-22,-20,-21,NaN,-21.0
9435,14.103198766708374,-20,-21,-21,-20,-20,NaN,-20.4
9401,14.199026107788086,-21,-21,-20,-22,-20,NaN,-20.8
9363,14.294692039489746,-20,-20,-20,-21,-20,NaN,-20.2
9326,14.390617847442627,-19,-20,-22,-22,-20,NaN,-20.6
9292,14.486360788345337,-22,-20,-22,-21,-22,NaN,-21.4
9258,14.581355571746826,-20,-19,-21,-22,-21,NaN,-20.6
9224,14.67784070968628,-19,-21,-20,-21,-22,NaN,-20.6
9197,14.772824048995972,-19,-22,-20,-20,-19,NaN,-20.0
9174,14.885324478149414,-19,-20,-21,-21,-20,NaN,-20.2
9152,14.981149911880493,-20,-20,-22,-18,-19,NaN,-19.8
9136,15.077422380447388,-19,-22,-21,-19,-23,NaN,-20.8
9123,15.173179388046265,-20,-20,-19,-19,-19,NaN,-19.4
9114,15.269035816192627,-19,-20,-22,-20,-21,NaN,-20.4
9108,15.364909648895264,-19,-21,-21,-20,-20,NaN,-20.2
9105,15.476407527923584,-22,-19,-21,-18,-18,NaN,-19.6
9103,15.572119235992432,-20,-21,-21,-20,-21,NaN,-20.6
9108,15.667455434799194,-18,-19,-20,-20,-23,NaN,-20.0
9114,15.764188528060913,-20,-19,-20,-21,-20,NaN,-20.0
9125,15.859858512878418,-20,-21,-22,-20,-20,NaN,-20.6
9137,15.955759763717651,-20,-20,-21,-20,-20,NaN,-20.2
9149,16.05125665664673,-22,-20,-21,-19,-21,NaN,-20.6
9160,16.14742660522461,-20,-21,-20,-21,-22,NaN,-20.8
9168,16.243242263793945,-21,-20,-20,-20,-19,NaN,-20.0
9176,16.33909010887146,-21,-19,-20,-20,-23,NaN,-20.6
9183,16.43451499938965,-21,-20,-21,-19,-19,NaN,-20.0
9192,16.530364513397217,-20,-20,-21,-19,-22,NaN,-20.4
9199,16.626235961914062,-19,-20,-19,-20,-20,NaN,-19.6
9199,16.722418308258057,-20,-17,-21,-20,-23,NaN,-20.2
9199,16.81770157814026,-21,-21,-21,-21,-19,NaN,-20.6
9200,16.9140522480011,-21,-21,-20,-20,-21,NaN,-20.6
9199,17.00986886024475,-22,-21,-20,-20,-21,NaN,-20.8
9197,17.10485029220581,-22,-18,-21,-22,-20,NaN,-20.6
9194,17.20152521133423,-21,-18,-21,-19,-20,NaN,-19.8
9193,17.29742407798767,-21,-20,-22,-19,-21,NaN,-20.6
9189,17.409038066864014,-20,-21,-20,-22,-20,NaN,-20.6
9186,17.5050208568573,-22,-20,-23,-21,-19,NaN,-21.0
9179,17.616034507751465,-20,-22,-23,-21,-20,NaN,-21.2
9167,17.712531566619873,-19,-21,-22,-20,-20,NaN,-20.4
9157,17.808215141296387,-20,-22,-20,-20,-20,NaN,-20.4
9147,17.90403389930725,-21,-18,-22,-19,-20,NaN,-20.0
9137,18.000017881393433,-22,-21,-21,-19,-20,NaN,-20.6
9130,18.09585690498352,-21,-20,-21,-20,-20,NaN,-20.4
9130,18.191747426986694,-21,-20,-21,-20,-21,NaN,-20.6
9129,18.287421703338623,-21,-20,-22,-20,-21,NaN,-20.8
9130,18.382854461669922,-20,-19,-19,-21,-20,NaN,-19.8
9132,18.4790940284729,-21,-21,-19,-20,-20,NaN,-20.2
9135,18.590810775756836,-20,-20,-21,-19,-19,NaN,-19.8
9138,18.686478853225708,-20,-21,-20,-20,-20,NaN,-20.2
9140,18.782183170318604,-20,-22,-20,-21,-20,NaN,-20.6
9141,18.877803087234497,-20,-21,-21,-21,-21,NaN,-20.8
9138,18.974251985549927,-21,-21,-20,-20,-23,NaN,-21.0
9138,19.069552898406982,-20,-19,-19,-21,-20,NaN,-19.8
9137,19.16580557823181,-22,-20,-21,-23,-20,NaN,-21.2
9135,19.261828184127808,-20,-17,-20,-21,-17,NaN,-19.0
9132,19.357428789138794,-22,-21,-22,-22,-19,NaN,-21.2
9132,19.453274726867676,-19,-19,-22,-19,-19,NaN,-19.6
9131,19.549269437789917,-21,-19,-20,-20,-20,NaN,-20.0
9132,19.64487886428833,-20,-19,-20,-20,-19,NaN,-19.6
9129,19.75670576095581,-18,-20,-18,-18,-20,NaN,-18.8
9121,19.85221576690674,-20,-20,-21,-20,-21,NaN,-20.4
9109,19.947562217712402,-20,-19,-21,-20,-21,NaN,-20.2
9097,20.044301509857178,-21,-20,-18,-23,-23,NaN,-21.0
9084,20.140074968338013,-20,-21,-22,-20,-20,NaN,-20.6
9069,20.23601722717285,-20,-21,-20,-21,-21,NaN,-20.6
9054,20.33182454109192,-19,-18,-21,-20,-20,NaN,-19.6
9041,20.42759895324707,-19,-20,-19,-20,-22,NaN,-20.0
9029,20.5228533744812,-19,-19,-20,-21,-19,NaN,-19.6
9017,20.61932063102722,-20,-19,-21,-19,-23,NaN,-20.4
9004,20.73027014732361,-19,-21,-20,-20,-21,NaN,-20.2
8989,20.82659673690796,-17,-21,-20,-19,-21,NaN,-19.6
8978,20.92279601097107,-21,-21,-20,-20,-22,NaN,-20.8
8968,21.017714977264404,-19,-19,-18,-19,-20,NaN,-19.0
8959,21.113783836364746,-19,-19,-20,-21,-20,NaN,-19.8
8951,21.20943522453308,-20,-21,-21,-18,-20,NaN,-20.0
8942,21.30554485321045,-20,-20,-21,-19,-20,NaN,-20.0
8934,21.40190076828003,-20,-19,-21,-21,-20,NaN,-20.2
8923,21.49765706062317,-20,-19,-20,-20,-18,NaN,-19.4
8914,21.593555688858032,-19,-18,-20,-18,-20,NaN,-19.0
8903,21.689082145690918,-19,-19,-19,-18,-20,NaN,-19.0
8892,21.785247564315796,-21,-19,-21,-20,-20,NaN,-20.2
8879,21.88094186782837,-20,-20,-19,-19,-20,NaN,-19.6
8865,21.97676920890808,-20,-20,-20,-20,-18,NaN,-19.6
8851,22.072734594345093,-21,-20,-20,-21,-20,NaN,-20.4
