finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
-7133,0.031037092208862305,13,14,14,14,14,NaN,13.8
-7176,0.2553293704986572,14,14,16,16,17,NaN,15.4
-7215,0.35042715072631836,13,17,16,15,15,NaN,15.2
-7249,0.44643688201904297,17,16,15,15,16,NaN,15.8
-7278,0.5430686473846436,14,17,17,16,17,NaN,16.2
-7303,0.6389291286468506,17,17,17,17,15,NaN,16.6
-7321,0.7339489459991455,17,18,15,16,18,NaN,16.8
-7337,0.8303823471069336,17,17,16,16,17,NaN,16.6
-7353,0.9254424571990967,15,15,16,17,18,NaN,16.2
-7372,1.0222172737121582,16,15,18,17,15,NaN,16.2
-7391,1.1179955005645752,17,17,17,15,17,NaN,16.6
-7409,1.2137136459350586,14,17,17,17,17,NaN,16.4
-7426,1.308840036392212,18,15,17,14,16,NaN,16.0
-7440,1.404625654220581,18,17,17,16,17,NaN,17.0
-7453,1.5011208057403564,17,17,17,18,15,NaN,16.8
-7466,1.5970113277435303,19,18,15,18,16,NaN,17.2
-7483,1.6919877529144287,19,16,19,18,18,NaN,18.0
-7504,1.7878520488739014,17,19,18,16,18,NaN,17.6
-7528,1.9001355171203613,16,17,18,18,20,NaN,17.8
-7556,1.9963481426239014,19,18,18,19,16,NaN,18.0
-7585,2.1076793670654297,17,19,19,17,19,21.0,18.2
-7613,2.203882932662964,18,16,18,18,18,21.0,17.6
-7641,2.299729585647583,17,19,18,16,19,21.0,17.8
-7672,2.3955721855163574,17,17,17,19,17,21.0,17.4
-7700,2.491117477416992,19,19,19,19,18,21.0,18.8
-7726,2.5873351097106934,20,17,19,18,19,21.0,18.6
-7753,2.68293833732605,18,18,19,18,20,21.0,18.6
-7779,2.778322696685791,18,17,16,17,18,21.0,17.2
-7804,2.8747098445892334,18,20,19,19,20,21.0,19.2
-7831,2.9701621532440186,19,19,17,20,19,21.0,18.8
-7857,3.0818114280700684,21,19,20,19,20,NaN,19.8
-7881,3.177626371383667,20,19,19,18,17,NaN,18.6
-7906,3.273954391479492,20,19,20,18,18,NaN,19.0
-7927,3.369840145111084,19,20,18,18,20,NaN,19.0
-7949,3.4656455516815186,16,16,18,16,19,NaN,17.0
-7971,3.56156063079834,19,20,18,19,20,NaN,19.2
-7993,3.6570804119110107,20,20,18,21,18,NaN,19.4
-8014,3.7534399032592773,19,16,19,19,20,NaN,18.6
-8039,3.8490469455718994,22,20,20,20,19,NaN,20.2
-8072,3.9447708129882812,19,19,21,20,18,NaN,19.4
-8109,4.040122985839844,19,18,17,20,20,NaN,18.8
-8150,4.136010646820068,20,20,18,20,19,NaN,19.4
-8191,4.247342824935913,19,17,20,19,21,NaN,19.2
-8232,4.3433942794799805,20,20,19,20,20,NaN,19.8
-8275,4.455299377441406,19,20,22,19,20,NaN,20.0
-8325,4.551767826080322,19,20,21,21,21,NaN,20.4
-8379,4.663315773010254,20,20,20,21,20,NaN,20.2
-8430,4.759433031082153,20,19,21,18,21,NaN,19.8
-8480,4.854410648345947,19,19,18,20,20,NaN,19.2
-8531,4.950953483581543,19,21,20,21,20,NaN,20.2
-8580,5.046846151351929,23,20,20,19,21,NaN,20.6
-8630,5.1580164432525635,18,20,20,22,20,NaN,20.0
-8678,5.254376649856567,22,22,22,23,19,NaN,21.6
-8734,5.350287914276123,20,22,20,21,22,NaN,21.0
-8793,5.445525169372559,19,21,22,21,20,NaN,20.6
-8856,5.542011499404907,21,21,20,19,20,NaN,20.2
