finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
15488,0.07653570175170898,-26,-29,-29,-30,-27,22.2,-28.2
15504,0.19911909103393555,-27,-31,-26,-30,-29,22.2,-28.6
15523,0.2998087406158447,-31,-30,-31,-31,-31,22.2,-30.8
15543,0.3991384506225586,-31,-30,-30,-27,-31,22.2,-29.8
15563,0.4931666851043701,-32,-31,-30,-31,-33,22.2,-31.4
15591,0.5824577808380127,-32,-30,-28,-27,-31,22.2,-29.6
15624,0.6828653812408447,-29,-31,-30,-34,-31,22.2,-31.0
15663,0.7988200187683105,-31,-32,-31,-34,-31,22.2,-31.8
15704,0.8892319202423096,-31,-33,-31,-34,-33,22.2,-32.4
15749,0.9885141849517822,-30,-36,-30,-32,-35,22.2,-32.6
15801,1.086369276046753,-31,-32,-30,-33,-33,22.2,-31.8
15853,1.1821880340576172,-31,-33,-32,-31,-30,22.2,-31.4
15908,1.276151180267334,-33,-33,-31,-32,-32,22.2,-32.2
15968,1.3685781955718994,-30,-33,-34,-34,-33,22.2,-32.8
16031,1.469538927078247,-32,-33,-33,-31,-31,22.2,-32.0
16099,1.5620441436767578,-34,-31,-34,-33,-33,22.2,-33.0
16171,1.6541292667388916,-34,-34,-35,-31,-34,22.2,-33.6
16248,1.752885103225708,-34,-33,-31,-34,-33,22.2,-33.0
16324,1.8527851104736328,-32,-34,-34,-32,-36,22.2,-33.6
16405,1.9486939907073975,-30,-35,-36,-33,-34,22.2,-33.6
16491,2.0447897911071777,-37,-34,-34,-38,-34,22.2,-35.4
16584,2.13961124420166,-33,-33,-38,-34,-35,22.2,-34.6
16671,2.235529899597168,-33,-34,-35,-34,-34,22.2,-34.0
16754,2.3326380252838135,-35,-32,-36,-32,-34,22.2,-33.8
16834,2.4267220497131348,-36,-35,-36,-35,-34,22.2,-35.2
16909,2.5165693759918213,-35,-37,-36,-36,-34,22.2,-35.6
16983,2.6175901889801025,-32,-37,-33,-32,-33,22.2,-33.4
17053,2.715776205062866,-34,-35,-35,-37,-33,22.2,-34.8
17122,2.8110265731811523,-32,-38,-36,-36,-35,22.2,-35.4
17186,2.899890184402466,-36,-31,-33,-36,-35,22.2,-34.2
17248,2.999513864517212,-35,-35,-36,-36,-33,22.2,-35.0
17310,3.0988242626190186,-37,-35,-36,-38,-38,22.2,-36.8
17372,3.1923861503601074,-37,-36,-35,-34,-37,22.2,-35.8
17431,3.289588451385498,-37,-36,-36,-33,-36,22.2,-35.6
17491,3.386152505874634,-35,-35,-36,-36,-36,22.2,-35.6
17551,3.4773757457733154,-38,-34,-38,-34,-37,22.2,-36.2
17612,3.576504707336426,-32,-36,-37,-35,-37,22.2,-35.4
17673,3.667079448699951,-36,-38,-37,-35,-36,22.2,-36.4
17728,3.767139196395874,-38,-34,-36,-38,-36,22.2,-36.4
17780,3.865593910217285,-37,-38,-35,-38,-37,22.2,-37.0
17828,3.9585955142974854,-38,-37,-39,-40,-38,22.2,-38.4
17871,4.049884796142578,-38,-36,-35,-38,-37,22.2,-36.8
17909,4.149873971939087,-38,-38,-37,-33,-37,22.2,-36.6
17945,4.24887752532959,-35,-35,-36,-38,-35,22.2,-35.8
17980,4.344621658325195,-36,-40,-38,-39,-38,22.2,-38.2
18015,4.44037652015686,-37,-39,-37,-37,-38,22.2,-37.6
18051,4.536264181137085,-39,-40,-38,-37,-41,22.2,-39.0
18090,4.63217306137085,-39,-39,-38,-39,-38,22.2,-38.6
18127,4.726205110549927,-40,-38,-37,-37,-38,22.2,-38.0
18163,4.816742181777954,-38,-40,-40,-39,-37,22.2,-38.8
18199,4.916428089141846,-36,-40,-36,-38,-37,22.2,-37.4
18236,5.015560150146484,-37,-39,-38,-41,-41,22.2,-39.2
18277,5.110468626022339,-38,-39,-37,-39,-41,22.2,-38.8
18316,5.200495481491089,-38,-38,-38,-37,-39,22.2,-38.0
18352,5.30194616317749,-40,-39,-37,-38,-38,22.2,-38.4
18389,5.398870229721069,-39,-38,-38,-37,-39,22.2,-38.2
18421,5.509920120239258,-39,-38,-39,-39,-36,22.2,-38.2
18451,5.600260496139526,-40,-39,-39,-39,-38,22.2,-39.0
18479,5.717478275299072,-39,-40,-39,-41,-38,22.2,-39.4
18508,5.810147285461426,-41,-38,-38,-40,-40,22.2,-39.4
18540,5.900219440460205,-38,-39,-39,-40,-40,22.2,-39.2
18570,6.000457286834717,-38,-39,-38,-38,-40,22.2,-38.6
18600,6.100248575210571,-40,-41,-38,-39,-38,22.2,-39.2
18631,6.193451642990112,-40,-41,-38,-39,-38,22.2,-39.2
18661,6.292932748794556,-39,-38,-38,-38,-41,22.2,-38.8
18687,6.383564472198486,-40,-38,-39,-38,-40,22.2,-39.0
18715,6.483110666275024,-38,-41,-40,-40,-41,22.2,-40.0
18742,6.574254512786865,-39,-39,-41,-41,-41,22.2,-40.2
18769,6.674736261367798,-43,-40,-39,-40,-40,22.2,-40.4
18792,6.766287565231323,-41,-40,-39,-38,-42,22.2,-40.0
18811,6.866280555725098,-42,-40,-40,-39,-42,22.2,-40.6
18831,6.960371732711792,-41,-42,-40,-41,-40,22.2,-40.8
18852,7.049542188644409,-40,-41,-42,-42,-39,22.2,-40.8
18873,7.149839401245117,-39,-40,-41,-40,-41,22.2,-40.2
18895,7.250211000442505,-40,-42,-39,-41,-39,22.2,-40.2
18920,7.347102642059326,-38,-41,-39,-41,-41,22.2,-40.0
18944,7.449801921844482,-39,-41,-41,-40,-41,22.2,-40.4
18962,7.549856662750244,-40,-41,-39,-41,-43,22.2,-40.8
18977,7.649349689483643,-41,-41,-41,-41,-39,22.2,-40.6
18987,7.746392011642456,-41,-42,-40,-38,-41,22.2,-40.4
18992,7.842040777206421,-42,-40,-39,-39,-41,22.2,-40.2
18994,7.938002824783325,-43,-43,-41,-39,-39,22.2,-41.0
18997,8.033753156661987,-40,-41,-40,-43,-44,22.2,-41.6
19002,8.12679386138916,-40,-42,-40,-43,-42,22.2,-41.4
19006,8.216665267944336,-40,-40,-40,-38,-41,22.2,-39.8
19008,8.316399812698364,-40,-39,-42,-43,-42,22.2,-41.2
19010,8.410604238510132,-41,-41,-39,-41,-40,22.2,-40.4
19012,8.506713628768921,-39,-44,-39,-40,-40,22.2,-40.4
19011,8.617248296737671,-42,-42,-41,-39,-38,22.2,-40.4
19002,8.716819286346436,-38,-42,-41,-43,-40,22.2,-40.8
18992,8.816055297851562,-40,-40,-41,-37,-41,22.2,-39.8
18986,8.909630537033081,-35,-40,-43,-41,-40,22.2,-39.8
18984,9.000545978546143,-41,-41,-40,-39,-41,22.2,-40.4
18986,9.099451065063477,-41,-40,-44,-42,-40,22.2,-41.4
18983,9.198795557022095,-41,-40,-38,-39,-40,22.2,-39.6
18984,9.295464992523193,-41,-41,-42,-41,-40,22.2,-41.0
18986,9.385184526443481,-40,-42,-40,-43,-39,22.2,-40.8
18988,9.485034704208374,-38,-42,-41,-41,-41,22.2,-40.6
18994,9.58238673210144,-42,-43,-41,-42,-43,22.2,-42.2
19002,9.676603078842163,-41,-41,-42,-41,-41,22.2,-41.2
19011,9.766411304473877,-42,-39,-40,-41,-40,22.2,-40.4
19022,9.869703531265259,-41,-39,-42,-43,-40,22.2,-41.0
19032,9.98204493522644,-42,-42,-43,-41,-42,22.2,-42.0
19040,10.077216863632202,-42,-43,-41,-42,-42,22.2,-42.0
19046,10.166466474533081,-40,-40,-45,-40,-42,22.2,-41.4
19051,10.268162965774536,-42,-40,-40,-39,-43,22.2,-40.8
19049,10.378296613693237,-37,-41,-43,-41,-44,22.2,-41.2
19044,10.477341651916504,-41,-40,-43,-40,-41,22.2,-41.0
19035,10.56694507598877,-40,-41,-41,-41,-42,22.2,-41.0
19022,10.666405439376831,-42,-40,-43,-40,-43,22.2,-41.6
19001,10.760377168655396,-41,-42,-43,-42,-41,22.2,-41.8
18978,10.859436273574829,-43,-41,-41,-41,-41,22.2,-41.4
18950,10.949442386627197,-38,-41,-40,-39,-40,22.2,-39.6
18920,11.049785852432251,-39,-40,-41,-42,-41,22.2,-40.6
18884,11.163736343383789,-45,-40,-39,-42,-43,22.2,-41.8
18847,11.259334802627563,-43,-39,-40,-43,-40,22.2,-41.0
18810,11.366804599761963,-39,-42,-41,-40,-42,22.2,-40.8
18772,11.466648817062378,-38,-40,-39,-38,-41,22.2,-39.2
18732,11.579209327697754,-42,-41,-43,-39,-41,22.2,-41.2
18691,11.674511194229126,-41,-42,-41,-39,-40,22.2,-40.6
18650,11.786371946334839,-39,-42,-40,-42,-39,22.2,-40.4
18608,11.877362251281738,-39,-42,-40,-38,-40,22.2,-39.8
18566,11.976343154907227,-43,-39,-40,-39,-41,22.2,-40.4
18532,12.066481590270996,-38,-42,-41,-38,-40,22.2,-39.8
18497,12.166131734848022,-42,-42,-38,-39,-40,22.2,-40.2
18463,12.259721755981445,-39,-37,-38,-41,-40,22.2,-39.0
18428,12.359514951705933,-39,-39,-40,-39,-41,22.2,-39.6
18392,12.45073413848877,-40,-39,-35,-42,-40,22.2,-39.2
