finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
26159,0.07968378067016602,-68,-72,-71,-74,-76,21.1,-72.2
26166,0.20520281791687012,-73,-74,-75,-76,-75,21.1,-74.6
26170,0.3036177158355713,-75,-76,-79,-77,-79,21.1,-77.2
26177,0.392963171005249,-76,-77,-77,-77,-76,21.1,-76.6
26186,0.4869530200958252,-77,-76,-76,-79,-78,21.1,-77.2
26199,0.5838954448699951,-79,-78,-77,-78,-78,21.1,-78.0
26213,0.6848816871643066,-76,-80,-76,-79,-78,21.1,-77.8
26226,0.7817020416259766,-82,-82,-76,-82,-80,21.1,-80.4
26238,0.8769779205322266,-82,-80,-80,-81,-78,21.1,-80.2
26253,0.970304012298584,-80,-82,-80,-80,-81,21.1,-80.6
26273,1.0860719680786133,-80,-82,-81,-79,-79,21.1,-80.2
26296,1.174492359161377,-77,-80,-80,-80,-80,21.1,-79.4
26313,1.2772595882415771,-80,-80,-80,-84,-83,21.1,-81.4
26324,1.3691160678863525,-83,-84,-81,-80,-80,21.1,-81.6
26333,1.4663844108581543,-79,-83,-81,-81,-80,21.1,-80.8
26340,1.5590579509735107,-79,-80,-78,-81,-82,21.1,-80.0
26346,1.659327745437622,-79,-79,-81,-81,-80,21.1,-80.0
26346,1.7496345043182373,-83,-84,-82,-79,-80,21.1,-81.6
26340,1.844069242477417,-81,-81,-83,-81,-81,21.1,-81.4
26332,1.9452345371246338,-82,-82,-81,-83,-83,21.1,-82.2
26323,2.0429129600524902,-81,-79,-81,-79,-82,21.1,-80.4
26310,2.1331210136413574,-81,-80,-82,-83,-81,21.1,-81.4
26297,2.2296435832977295,-79,-82,-81,-83,-81,21.1,-81.2
26283,2.332636594772339,-82,-81,-80,-83,-82,21.1,-81.6
26267,2.441969871520996,-83,-81,-84,-83,-81,21.1,-82.4
26253,2.53240966796875,-79,-84,-83,-84,-82,21.1,-82.4
26243,2.6356489658355713,-83,-82,-82,-85,-82,21.1,-82.8
