finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
23939,0.041887760162353516,-53,-52,-50,-55,-49,NaN,-51.8
23921,0.3052256107330322,-55,-54,-53,-53,-54,NaN,-53.8
23904,0.4008066654205322,-55,-53,-58,-52,-55,NaN,-54.6
23891,0.4945235252380371,-53,-54,-53,-52,-53,NaN,-53.0
23886,0.592754602432251,-53,-52,-53,-55,-52,NaN,-53.0
23887,0.6885571479797363,-52,-57,-55,-55,-56,NaN,-55.0
23888,0.7837443351745605,-52,-55,-57,-56,-51,NaN,-54.2
23888,0.8707523345947266,-56,-54,-57,-51,-53,NaN,-54.2
23889,0.9762842655181885,-54,-55,-53,-54,-51,NaN,-53.4
23889,1.071913480758667,-55,-55,-54,-52,-51,NaN,-53.4
23890,1.1638720035552979,-54,-53,-54,-52,-53,NaN,-53.2
23887,1.2637512683868408,-53,-54,-55,-55,-56,NaN,-54.6
23880,1.3533751964569092,-53,-53,-55,-53,-53,NaN,-53.4
23871,1.4540443420410156,-49,-55,-54,-55,-53,NaN,-53.2
23861,1.5413010120391846,-53,-53,-50,-53,-54,NaN,-52.6
23851,1.640190601348877,-54,-53,-53,-54,-55,NaN,-53.8
23839,1.7426714897155762,-52,-55,-54,-53,-52,NaN,-53.2
23826,1.8539743423461914,-56,-57,-54,-52,-51,NaN,-54.0
23812,1.9436683654785156,-54,-52,-56,-54,-52,NaN,-53.6
23800,2.061410665512085,-54,-52,-54,-54,-55,NaN,-53.8
23789,2.1545188426971436,-53,-53,-54,-54,-56,NaN,-54.0
23780,2.2700376510620117,-54,-52,-53,-52,-52,NaN,-52.6
23767,2.364327907562256,-56,-52,-55,-55,-56,NaN,-54.8
23752,2.4540858268737793,-54,-54,-51,-55,-54,NaN,-53.6
23739,2.554697036743164,-53,-54,-53,-53,-53,NaN,-53.2
23722,2.6534032821655273,-55,-54,-52,-52,-55,NaN,-53.6
23708,2.7473931312561035,-56,-55,-54,-56,-54,NaN,-55.0
23697,2.837355136871338,-54,-57,-55,-54,-54,NaN,-54.8
23688,2.9373981952667236,-55,-56,-51,-54,-55,NaN,-54.2
23685,3.036726236343384,-52,-57,-56,-53,-53,NaN,-54.2
23683,3.148083209991455,-53,-53,-53,-55,-56,NaN,-54.0
23683,3.2374088764190674,-56,-51,-54,-53,-54,NaN,-53.6
23683,3.354543447494507,-56,-53,-52,-56,-53,NaN,-54.0
23690,3.44696044921875,-54,-52,-53,-53,-55,NaN,-53.4
23703,3.55419921875,-54,-53,-55,-55,-53,NaN,-54.0
23717,3.6588399410247803,-57,-53,-55,-54,-56,NaN,-55.0
23732,3.755181074142456,-53,-57,-55,-51,-54,NaN,-54.0
23748,3.8475236892700195,-52,-54,-53,-52,-56,NaN,-53.4
23765,3.9376142024993896,-54,-53,-54,-53,-55,NaN,-53.8
23778,4.036415338516235,-54,-53,-56,-53,-55,NaN,-54.2
23790,4.146552085876465,-54,-54,-52,-55,-53,NaN,-53.6
23806,4.246872901916504,-54,-55,-55,-55,-55,NaN,-54.8
23824,4.361744403839111,-55,-55,-56,-56,-55,NaN,-55.4
23841,4.452670574188232,-55,-55,-55,-55,-52,NaN,-54.4
23861,4.547410249710083,-53,-54,-53,-54,-53,NaN,-53.4
23883,4.664779424667358,-56,-54,-56,-54,-54,NaN,-54.8
23907,4.753769636154175,-54,-55,-55,-55,-56,NaN,-55.0
