finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
28914,0.04807591438293457,-84,-83,-85,-86,-87,NaN,-85.0
28873,0.2867007255554199,-89,-87,-89,-91,-89,NaN,-89.0
28827,0.383073091506958,-91,-91,-89,-89,-90,NaN,-90.0
28776,0.4949455261230469,-89,-88,-89,-90,-90,NaN,-89.2
28723,0.6067759990692139,-88,-90,-88,-88,-92,NaN,-89.2
28670,0.7188317775726318,-87,-91,-90,-88,-90,NaN,-89.2
28620,0.8143880367279053,-92,-89,-89,-92,-92,NaN,-90.8
28570,0.9103405475616455,-89,-91,-91,-91,-90,NaN,-90.4
28521,1.0218582153320312,-91,-90,-91,-88,-91,NaN,-90.2
28468,1.1180272102355957,-89,-92,-91,-90,-90,NaN,-90.4
28413,1.2129626274108887,-92,-89,-87,-91,-89,NaN,-89.6
28355,1.3250648975372314,-89,-89,-89,-89,-90,NaN,-89.2
28294,1.421048879623413,-91,-91,-89,-89,-90,NaN,-90.0
28229,1.5164885520935059,-91,-91,-90,-90,-94,NaN,-91.2
28161,1.6288783550262451,-91,-90,-90,-92,-92,NaN,-91.0
28086,1.7251520156860352,-92,-90,-89,-90,-89,NaN,-90.0
28016,1.8197665214538574,-92,-88,-89,-89,-91,NaN,-89.8
27949,1.9165551662445068,-91,-93,-90,-90,-91,NaN,-91.0
27882,2.0121235847473145,-92,-92,-92,-88,-89,NaN,-90.6
27816,2.108262300491333,-90,-89,-91,-91,-92,NaN,-90.6
27749,2.203047752380371,-88,-91,-91,-91,-91,NaN,-90.4
27682,2.2990787029266357,-89,-90,-89,-92,-91,NaN,-90.2
27620,2.3958017826080322,-92,-90,-90,-91,-88,NaN,-90.2
27563,2.4910411834716797,-90,-91,-91,-91,-89,NaN,-90.4
27506,2.6029651165008545,-89,-88,-89,-90,-91,NaN,-89.4
27449,2.6987390518188477,-89,-88,-89,-88,-89,NaN,-88.6
27388,2.7950708866119385,-89,-91,-89,-86,-89,NaN,-88.8
27330,2.8906197547912598,-90,-92,-88,-89,-88,NaN,-89.4
27274,2.9867019653320312,-89,-91,-88,-92,-89,NaN,-89.8
27220,3.0824737548828125,-89,-89,-88,-89,-90,NaN,-89.0
27168,3.178274154663086,-89,-90,-87,-88,-87,NaN,-88.2
27114,3.274183511734009,-90,-88,-89,-88,-86,NaN,-88.2
27059,3.3848376274108887,-87,-90,-89,-90,-88,NaN,-88.8
27002,3.4818356037139893,-89,-91,-89,-90,-90,NaN,-89.8
26947,3.577468156814575,-88,-88,-90,-93,-87,NaN,-89.2
26890,3.673384189605713,-88,-90,-89,-90,-88,NaN,-89.0
26833,3.7691986560821533,-89,-89,-88,-89,-90,NaN,-89.0
26776,3.864367723464966,-89,-88,-89,-87,-90,NaN,-88.6
26722,3.96085524559021,-85,-89,-89,-89,-90,NaN,-88.4
26666,4.05683445930481,-91,-90,-88,-89,-90,NaN,-89.6
26609,4.152550220489502,-88,-89,-86,-88,-87,NaN,-87.6
26554,4.247605562210083,-88,-87,-90,-91,-86,NaN,-88.4
26501,4.34429407119751,-89,-88,-90,-91,-87,NaN,-89.0
26452,4.439837694168091,-88,-89,-89,-89,-88,NaN,-88.6
26403,4.535763740539551,-88,-88,-87,-86,-89,NaN,-87.6
26359,4.631632566452026,-86,-89,-89,-90,-89,NaN,-88.6
