finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
13984,8.879708051681519,-34,-34,-35,-34,-32,21.3,-33.8
14037,8.975294589996338,-35,-34,-32,-34,-33,21.3,-33.6
14090,9.070958375930786,-34,-34,-35,-34,-37,21.3,-34.8
14138,9.166890382766724,-35,-34,-34,-36,-34,21.3,-34.6
14185,9.262868404388428,-35,-35,-35,-34,-33,21.3,-34.4
14235,9.374728202819824,-35,-36,-37,-35,-35,21.3,-35.6
14285,9.470608949661255,-33,-35,-34,-34,-34,21.3,-34.0
14338,9.566331148147583,-35,-36,-39,-36,-34,21.3,-36.0
14389,9.662160634994507,-37,-36,-37,-35,-36,21.3,-36.2
14441,9.773268461227417,-34,-36,-38,-35,-35,21.3,-35.6
14491,9.869943380355835,-33,-35,-38,-35,-36,21.3,-35.4
14539,9.965633630752563,-35,-36,-37,-36,-36,21.3,-36.0
14589,10.06154751777649,-35,-37,-36,-36,-36,21.3,-36.0
14641,10.157166719436646,-36,-36,-36,-38,-35,21.3,-36.2
14695,10.253125429153442,-36,-36,-35,-36,-36,21.3,-35.8
14750,10.365021705627441,-37,-37,-34,-36,-36,21.3,-36.0
14807,10.460851192474365,-37,-36,-36,-35,-38,21.3,-36.4
14861,10.57198715209961,-38,-37,-36,-36,-36,21.3,-36.6
14915,10.683786869049072,-38,-36,-38,-38,-37,21.3,-37.4
14970,10.796262741088867,-35,-37,-39,-36,-37,21.3,-36.8
15026,10.892067670822144,-36,-38,-36,-38,-36,21.3,-36.8
15080,10.98778247833252,-36,-37,-37,-37,-38,21.3,-37.0
15132,11.099050045013428,-36,-38,-37,-38,-38,21.3,-37.4
15180,11.210532188415527,-38,-40,-39,-38,-38,21.3,-38.6
15225,11.307264804840088,-38,-39,-38,-38,-39,21.3,-38.4
15265,11.402812004089355,-38,-38,-38,-38,-39,21.3,-38.2
15303,11.513977766036987,-40,-38,-38,-39,-41,21.3,-39.2
15336,11.610039472579956,-38,-39,-36,-38,-36,21.3,-37.4
15365,11.705788850784302,-38,-38,-36,-39,-40,21.3,-38.2
15395,11.81828260421753,-39,-40,-39,-40,-37,21.3,-39.0
15426,11.914012432098389,-40,-39,-38,-38,-37,21.3,-38.4
15456,12.009960651397705,-38,-39,-39,-39,-38,21.3,-38.6
15482,12.105721712112427,-39,-39,-38,-37,-39,21.3,-38.4
15502,12.201666355133057,-38,-40,-39,-40,-41,21.3,-39.6
15515,12.297239542007446,-39,-40,-39,-39,-39,21.3,-39.2
15523,12.393247365951538,-40,-41,-39,-40,-40,21.3,-40.0
15525,12.488111972808838,-39,-41,-39,-38,-40,21.3,-39.4
15523,12.584871768951416,-40,-40,-39,-38,-39,21.3,-39.2
15517,12.679975748062134,-40,-41,-40,-38,-38,21.3,-39.4
15507,12.776131868362427,-39,-40,-43,-39,-38,21.3,-39.8
15495,12.888232707977295,-41,-41,-39,-40,-38,21.3,-39.8
15481,12.984304666519165,-39,-41,-40,-38,-39,21.3,-39.4
15461,13.079826831817627,-39,-41,-38,-37,-38,21.3,-38.6
15439,13.175731182098389,-39,-40,-40,-41,-39,21.3,-39.8
15417,13.27160930633545,-38,-37,-39,-39,-39,21.3,-38.4
15392,13.36745548248291,-38,-39,-40,-40,-40,21.3,-39.4
15369,13.46330189704895,-39,-39,-39,-40,-37,21.3,-38.8
15346,13.558910608291626,-39,-39,-38,-39,-40,21.3,-39.0
15325,13.670301914215088,-39,-40,-40,-40,-41,21.3,-40.0
15303,13.766514301300049,-39,-40,-39,-42,-40,21.3,-40.0
15285,13.862399101257324,-40,-39,-38,-40,-40,21.3,-39.4
15264,13.958286762237549,-39,-40,-39,-38,-39,21.3,-39.0
15247,14.070167303085327,-40,-38,-40,-39,-39,21.3,-39.2
15229,14.165417194366455,-39,-40,-38,-36,-39,21.3,-38.4
15208,14.26192855834961,-39,-38,-39,-39,-40,21.3,-39.0
15191,14.357398271560669,-39,-39,-39,-39,-41,21.3,-39.4
15177,14.469328165054321,-40,-40,-40,-39,-39,21.3,-39.6
15168,14.565435409545898,-40,-40,-38,-40,-40,21.3,-39.6
15165,14.661163568496704,-39,-42,-40,-37,-39,21.3,-39.4
15164,14.756005048751831,-39,-39,-41,-40,-40,21.3,-39.8
15165,14.852647066116333,-41,-41,-40,-42,-41,21.3,-41.0
15165,14.94874119758606,-38,-41,-37,-39,-41,21.3,-39.2
15164,15.044307231903076,-40,-39,-40,-40,-40,21.3,-39.8
15165,15.139826774597168,-39,-40,-39,-37,-41,21.3,-39.2
15169,15.236211061477661,-36,-40,-41,-41,-38,21.3,-39.2
15174,15.332023859024048,-40,-40,-44,-39,-40,21.3,-40.6
15172,15.443708658218384,-39,-40,-41,-41,-41,21.3,-40.4
15174,15.539674997329712,-41,-39,-40,-38,-39,21.3,-39.4
15180,15.63519835472107,-41,-40,-38,-40,-39,21.3,-39.6
15191,15.731091737747192,-39,-41,-39,-41,-39,21.3,-39.8
15207,15.826539039611816,-41,-40,-41,-41,-38,21.3,-40.2
15231,15.922648429870605,-40,-40,-39,-42,-39,21.3,-40.0
15259,16.034533739089966,-39,-38,-40,-38,-39,21.3,-38.8
15284,16.130412578582764,-41,-42,-38,-39,-40,21.3,-40.0
15306,16.225439071655273,-38,-39,-40,-39,-40,21.3,-39.2
15327,16.32217264175415,-38,-40,-40,-40,-41,21.3,-39.8
15345,16.433727025985718,-41,-40,-41,-39,-40,21.3,-40.2
15364,16.529752492904663,-38,-39,-39,-40,-42,21.3,-39.6
15382,16.62492299079895,-39,-40,-38,-40,-39,21.3,-39.2
