finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
27085,0.04887270927429199,-73,-79,-78,-80,-80,22.4,-78.0
26986,0.2877941131591797,-86,-83,-84,-82,-84,22.4,-83.8
26883,0.38425707817077637,-86,-84,-86,-83,-86,22.4,-85.0
26775,0.47930359840393066,-83,-84,-83,-83,-85,22.4,-83.6
26674,0.5749509334564209,-84,-87,-84,-84,-82,22.4,-84.2
26576,0.6877059936523438,-83,-85,-85,-85,-85,22.4,-84.6
26481,0.7824363708496094,-81,-85,-86,-84,-83,22.4,-83.8
26387,0.8782715797424316,-85,-85,-84,-85,-83,22.4,-84.4
26294,0.9749279022216797,-82,-83,-84,-83,-83,22.4,-83.0
26198,1.0710523128509521,-83,-83,-83,-83,-84,22.4,-83.2
26099,1.166532278060913,-84,-83,-84,-84,-85,22.4,-84.0
26004,1.2625987529754639,-85,-84,-82,-85,-83,22.4,-83.8
25909,1.3581299781799316,-83,-84,-83,-83,-84,22.4,-83.4
25816,1.4539663791656494,-81,-84,-83,-84,-83,22.4,-83.0
25730,1.549767255783081,-80,-82,-83,-83,-83,22.4,-82.2
25645,1.6458392143249512,-84,-84,-85,-84,-86,22.4,-84.6
25563,1.7409582138061523,-80,-83,-83,-84,-82,22.4,-82.4
25484,1.8376328945159912,-85,-82,-83,-82,-82,22.4,-82.8
25403,1.949319839477539,-82,-81,-82,-82,-83,22.4,-82.0
25321,2.04526686668396,-83,-84,-83,-84,-83,22.4,-83.4
25239,2.141286611557007,-82,-82,-84,-81,-82,22.4,-82.2
25157,2.2367429733276367,-86,-83,-84,-83,-82,22.4,-83.6
25079,2.3486430644989014,-82,-80,-84,-81,-80,22.4,-81.4
25002,2.444553852081299,-82,-83,-81,-82,-81,22.4,-81.8
24924,2.5556819438934326,-82,-81,-82,-82,-81,22.4,-81.6
24846,2.6514251232147217,-84,-81,-86,-81,-82,22.4,-82.8
24767,2.7479453086853027,-80,-84,-82,-83,-82,22.4,-82.2
24688,2.8438446521759033,-81,-82,-81,-82,-80,22.4,-81.2
24613,2.9394078254699707,-84,-78,-83,-86,-81,22.4,-82.4
24539,3.0510966777801514,-81,-82,-82,-81,-81,22.4,-81.4
24465,3.1472768783569336,-79,-81,-79,-82,-80,22.4,-80.2
24391,3.2429709434509277,-80,-82,-84,-81,-81,22.4,-81.6
24320,3.3388960361480713,-82,-81,-81,-83,-81,22.4,-81.6
