finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
15670,0.032354116439819336,-29,-30,-30,-32,-34,NaN,-31.0
15693,0.2884824275970459,-32,-29,-30,-33,-32,NaN,-31.2
15719,0.3843827247619629,-32,-32,-31,-32,-36,NaN,-32.6
15751,0.4801812171936035,-34,-30,-29,-28,-34,NaN,-31.0
15788,0.5919649600982666,-35,-32,-33,-36,-31,NaN,-33.4
15826,0.6867105960845947,-36,-34,-30,-32,-32,NaN,-32.8
15863,0.7825651168823242,-35,-36,-33,-30,-31,NaN,-33.0
15899,0.8783082962036133,-36,-35,-35,-34,-35,NaN,-35.0
15937,0.9750494956970215,-35,-32,-30,-33,-32,NaN,-32.4
15973,1.0708203315734863,-35,-34,-34,-34,-38,NaN,-35.0
16009,1.166539192199707,-38,-31,-35,-34,-33,NaN,-34.2
16042,1.262350082397461,-33,-35,-37,-36,-33,NaN,-34.8
16071,1.3584849834442139,-34,-37,-36,-33,-34,NaN,-34.8
16100,1.4538021087646484,-33,-33,-33,-34,-35,NaN,-33.6
16129,1.5499846935272217,-36,-38,-38,-35,-35,NaN,-36.4
16160,1.6457290649414062,-34,-36,-35,-33,-33,NaN,-34.2
16192,1.7408175468444824,-36,-36,-34,-34,-34,NaN,-34.8
16222,1.8375544548034668,-36,-36,-36,-35,-36,NaN,-35.8
16255,1.934436321258545,-33,-34,-37,-35,-34,NaN,-34.6
16288,2.0282692909240723,-35,-36,-36,-35,-35,NaN,-35.4
16322,2.1248667240142822,-35,-37,-35,-33,-35,NaN,-35.0
16355,2.2203168869018555,-36,-35,-34,-35,-33,NaN,-34.6
16391,2.316995859146118,-35,-37,-36,-36,-34,NaN,-35.6
16423,2.4279379844665527,-36,-36,-36,-37,-33,NaN,-35.6
16452,2.524169921875,-38,-34,-37,-35,-36,NaN,-36.0
16475,2.6197569370269775,-36,-36,-36,-37,-36,NaN,-36.2
16495,2.7159371376037598,-34,-35,-35,-38,-38,NaN,-36.0
16511,2.8272879123687744,-36,-34,-38,-38,-36,NaN,-36.4
16525,2.9238240718841553,-36,-37,-36,-36,-35,NaN,-36.0
16538,3.01920747756958,-37,-37,-36,-37,-38,NaN,-37.0
16553,3.131251811981201,-33,-34,-33,-35,-36,NaN,-34.2
16566,3.227280616760254,-38,-40,-33,-35,-36,NaN,-36.4
16581,3.32285475730896,-40,-34,-37,-36,-34,NaN,-36.2
16601,3.4187121391296387,-35,-37,-38,-35,-38,NaN,-36.6
16628,3.5144553184509277,-40,-34,-38,-37,-37,NaN,-37.2
16660,3.610236883163452,-36,-38,-36,-35,-34,NaN,-35.8
16699,3.705648422241211,-40,-35,-36,-37,-37,NaN,-37.0
16741,3.8174569606781006,-37,-37,-36,-38,-37,NaN,-37.0
16784,3.9294328689575195,-39,-36,-37,-38,-36,NaN,-37.2
16825,4.041227340698242,-39,-37,-35,-36,-35,NaN,-36.4
16869,4.137003660202026,-36,-37,-41,-36,-37,21.0,-37.4
16917,4.233328580856323,-37,-37,-35,-37,-40,21.0,-37.2
16970,4.329261541366577,-35,-37,-35,-39,-38,21.0,-36.8
17024,4.425091028213501,-37,-33,-38,-38,-37,21.0,-36.6
17075,4.520743131637573,-39,-35,-40,-38,-36,21.0,-37.6
17124,4.616809606552124,-39,-41,-36,-39,-36,21.0,-38.2
17173,4.712579727172852,-38,-37,-38,-38,-40,21.0,-38.2
17221,4.808152914047241,-38,-36,-39,-37,-37,21.0,-37.4
17269,4.904346942901611,-38,-42,-38,-39,-41,21.0,-39.6
17313,4.998948574066162,-39,-40,-36,-41,-38,21.0,-38.8
17356,5.095677614212036,-39,-40,-38,-41,-38,NaN,-39.2
17398,5.19176721572876,-39,-36,-39,-39,-40,NaN,-38.6
17443,5.287589073181152,-40,-39,-35,-38,-38,NaN,-38.0
17490,5.382471084594727,-39,-37,-38,-37,-40,NaN,-38.2
17533,5.479209899902344,-38,-39,-37,-38,-40,NaN,-38.4
17577,5.574743270874023,-35,-39,-42,-40,-41,NaN,-39.4
17622,5.670756578445435,-38,-40,-39,-41,-36,NaN,-38.8
17668,5.765782117843628,-40,-38,-38,-38,-40,NaN,-38.8
17713,5.86255955696106,-37,-39,-40,-38,-40,NaN,-38.8
17759,5.958410263061523,-39,-39,-39,-38,-38,NaN,-38.6
17805,6.053884744644165,-41,-40,-40,-40,-40,NaN,-40.2
17848,6.149992227554321,-40,-40,-42,-41,-40,NaN,-40.6
17885,6.245834827423096,-39,-40,-39,-40,-40,NaN,-39.6
17920,6.3415892124176025,-39,-41,-39,-43,-41,NaN,-40.6
17957,6.437281608581543,-41,-39,-39,-41,-39,NaN,-39.8
17993,6.53278374671936,-39,-39,-42,-41,-40,NaN,-40.2
18031,6.629197597503662,-44,-41,-40,-40,-39,NaN,-40.8
18076,6.724016427993774,-41,-39,-39,-42,-42,NaN,-40.6
18127,6.820739507675171,-41,-40,-39,-40,-39,NaN,-39.8
18183,6.915735244750977,-42,-40,-42,-40,-41,NaN,-41.0
18241,7.0283873081207275,-39,-41,-41,-42,-40,NaN,-40.6
18303,7.124192476272583,-41,-40,-40,-40,-41,NaN,-40.4
18371,7.2196736335754395,-39,-41,-40,-40,-41,NaN,-40.2
18444,7.315051794052124,-40,-42,-46,-42,-41,NaN,-42.2
18516,7.411732912063599,-38,-41,-42,-46,-44,NaN,-42.2
18589,7.5076024532318115,-40,-41,-42,-41,-46,NaN,-42.0
18663,7.602420806884766,-42,-42,-42,-40,-44,NaN,-42.0
18736,7.69919228553772,-40,-43,-42,-42,-42,NaN,-41.8
18809,7.810005187988281,-41,-41,-42,-41,-40,NaN,-41.0
18882,7.906831741333008,-41,-40,-43,-43,-42,NaN,-41.8
18952,8.002596378326416,-40,-42,-41,-42,-43,NaN,-41.6
19020,8.098518133163452,-41,-42,-42,-42,-45,NaN,-42.4
19090,8.210240840911865,-45,-42,-44,-41,-41,NaN,-42.6
19158,8.305919408798218,-41,-42,-44,-44,-43,NaN,-42.8
19223,8.417032718658447,-44,-44,-45,-45,-43,NaN,-44.2
19286,8.513809204101562,-43,-43,-43,-42,-44,NaN,-43.0
19345,8.6096031665802,-47,-45,-43,-42,-43,NaN,-44.0
19402,8.7046537399292,-42,-42,-44,-44,-45,NaN,-43.4
19455,8.80118727684021,-45,-42,-44,-43,-45,NaN,-43.8
19505,8.896856784820557,-42,-45,-44,-44,-43,NaN,-43.6
19552,8.992737770080566,-43,-43,-44,-41,-44,NaN,-43.0
19598,9.088517189025879,-44,-41,-43,-42,-43,NaN,-42.6
19638,9.19991135597229,-44,-42,-45,-44,-43,NaN,-43.6
19671,9.296022891998291,-47,-47,-46,-45,-42,NaN,-45.4
19701,9.392125606536865,-43,-43,-47,-46,-43,NaN,-44.4
19729,9.487512350082397,-47,-44,-46,-48,-44,NaN,-45.8
19757,9.583125352859497,-44,-47,-44,-42,-45,NaN,-44.4
19786,9.679521322250366,-46,-43,-44,-46,-45,NaN,-44.8
19818,9.774641036987305,-45,-47,-44,-45,-45,NaN,-45.2
19852,9.870972871780396,-46,-46,-45,-46,-47,NaN,-46.0
19890,9.966979503631592,-45,-49,-43,-46,-47,NaN,-46.0
19932,10.062010049819946,-45,-47,-43,-43,-45,NaN,-44.6
19981,10.15874719619751,-45,-46,-46,-46,-42,NaN,-45.0
20032,10.254249572753906,-45,-48,-44,-46,-45,NaN,-45.6
20088,10.34985899925232,-46,-47,-46,-45,-44,NaN,-45.6
20142,10.445189237594604,-45,-46,-47,-45,-47,NaN,-46.0
20200,10.557497262954712,-45,-46,-45,-45,-47,NaN,-45.6
20258,10.6530921459198,-47,-47,-47,-47,-47,NaN,-47.0
20312,10.74901533126831,-46,-47,-46,-47,-45,NaN,-46.2
20363,10.845292329788208,-45,-46,-48,-46,-46,NaN,-46.2
20414,10.956944704055786,-48,-46,-44,-48,-47,NaN,-46.6
20463,11.053082942962646,-47,-46,-46,-48,-46,NaN,-46.6
20515,11.148739337921143,-48,-47,-48,-48,-46,NaN,-47.4
20567,11.24472165107727,-47,-45,-47,-49,-48,NaN,-47.2
20618,11.340603828430176,-48,-47,-48,-48,-49,NaN,-48.0
20669,11.43605375289917,-48,-46,-47,-46,-46,NaN,-46.6
20722,11.532013177871704,-48,-46,-47,-47,-47,NaN,-47.0
20780,11.627901315689087,-47,-46,-47,-48,-50,NaN,-47.6
20842,11.739718675613403,-49,-49,-47,-49,-48,NaN,-48.4
20909,11.835227489471436,-45,-49,-46,-48,-48,NaN,-47.2
20982,11.931429386138916,-47,-48,-47,-48,-47,NaN,-47.4
21054,12.027167558670044,-46,-48,-48,-50,-47,NaN,-47.8
21122,12.12226390838623,-48,-49,-49,-49,-51,NaN,-49.2
21186,12.218437671661377,-47,-50,-50,-49,-49,NaN,-49.0
21246,12.314366817474365,-49,-47,-48,-49,-48,NaN,-48.2
21300,12.410604238510132,-48,-49,-50,-51,-50,NaN,-49.6
21350,12.50633430480957,-53,-46,-50,-51,-48,NaN,-49.6
21395,12.602248191833496,-49,-49,-49,-48,-51,NaN,-49.2
21432,12.697936058044434,-50,-50,-49,-49,-51,NaN,-49.8
21465,12.793068408966064,-52,-51,-49,-49,-49,NaN,-50.0
21492,12.889075994491577,-50,-50,-50,-50,-48,NaN,-49.6
21514,12.985782146453857,-49,-50,-48,-50,-49,NaN,-49.2
21530,13.081006050109863,-50,-50,-49,-51,-50,NaN,-50.0
21539,13.176954984664917,-49,-51,-51,-47,-53,NaN,-50.2
21547,13.272886991500854,-49,-54,-49,-50,-50,NaN,-50.4
21548,13.36808466911316,-45,-50,-46,-50,-47,NaN,-47.6
21547,13.464722633361816,-50,-52,-51,-51,-49,NaN,-50.6
21538,13.56027340888977,-49,-49,-52,-52,-50,NaN,-50.4
21525,13.656017780303955,-50,-49,-53,-50,-52,NaN,-50.8
21509,13.750981092453003,-53,-49,-50,-51,-49,NaN,-50.4
21490,13.847461938858032,-49,-46,-49,-50,-50,NaN,-48.8
21467,13.943520545959473,-49,-46,-50,-50,-46,NaN,-48.2
21440,14.054549932479858,-50,-49,-52,-51,-52,NaN,-50.8
21409,14.151298999786377,-48,-48,-52,-50,-49,NaN,-49.4
21372,14.246787309646606,-52,-48,-47,-49,-49,NaN,-49.0
21333,14.34271240234375,-48,-46,-49,-48,-48,NaN,-47.8
21291,14.438983917236328,-48,-50,-51,-50,-51,NaN,-50.0
21242,14.534653186798096,-50,-50,-50,-48,-47,NaN,-49.0
21190,14.630518436431885,-47,-50,-46,-50,-50,NaN,-48.6
21137,14.72555661201477,-50,-51,-50,-49,-46,NaN,-49.2
21078,14.822002172470093,-50,-52,-51,-49,-50,NaN,-50.4
21017,14.917738199234009,-51,-49,-49,-47,-47,NaN,-48.6
20953,15.012729406356812,-50,-49,-50,-46,-47,NaN,-48.4
20890,15.109726667404175,-47,-50,-49,-49,-48,NaN,-48.6
20827,15.204808235168457,-51,-49,-48,-50,-47,NaN,-49.0
20762,15.300687074661255,-48,-49,-50,-47,-48,NaN,-48.4
20696,15.396820545196533,-48,-49,-50,-46,-49,NaN,-48.4
20628,15.493057012557983,-48,-48,-48,-49,-47,NaN,-48.0
20557,15.588489770889282,-51,-48,-48,-47,-47,NaN,-48.2
20482,15.684576034545898,-47,-49,-51,-48,-49,NaN,-48.8
20405,15.779983043670654,-48,-48,-46,-46,-48,NaN,-47.2
20325,15.876056671142578,-47,-49,-48,-49,-48,NaN,-48.2
20240,15.988035202026367,-47,-45,-47,-50,-49,NaN,-47.6
20153,16.08331274986267,-48,-47,-50,-49,-47,NaN,-48.2
20061,16.195448637008667,-47,-49,-48,-50,-47,NaN,-48.2
19968,16.29084086418152,-49,-45,-46,-48,-49,NaN,-47.4
19876,16.38700032234192,-50,-47,-47,-46,-49,NaN,-47.8
19783,16.482008934020996,-46,-48,-48,-48,-45,NaN,-47.0
19685,16.57897186279297,-47,-47,-50,-48,-45,NaN,-47.4
19586,16.674641609191895,-47,-46,-49,-47,-47,NaN,-47.2
19485,16.76978588104248,-46,-46,-45,-46,-46,NaN,-45.8
19387,16.865656852722168,-48,-48,-46,-49,-45,NaN,-47.2
19288,16.962373971939087,-45,-45,-44,-49,-45,NaN,-45.6
19193,17.057796716690063,-46,-49,-46,-44,-46,NaN,-46.2
19100,17.15373945236206,-47,-46,-48,-44,-46,NaN,-46.2
19008,17.24896764755249,-46,-45,-46,-47,-48,NaN,-46.4
18916,17.344772815704346,-47,-47,-46,-44,-46,NaN,-46.0
18826,17.44123601913452,-47,-45,-44,-45,-45,NaN,-45.2
